37.000000,81.000000,9.000000,162.000000,206.000000,134.000000
32.000000,74.000000,12.000000,157.000000,199.000000,137.000000
6.000000,79.000000,14.000000,131.000000,204.000000,139.000000
13.000000,81.000000,14.000000,138.000000,206.000000,139.000000
43.000000,28.000000,19.000000,168.000000,153.000000,144.000000
40.000000,49.000000,25.000000,165.000000,174.000000,150.000000
40.000000,48.000000,26.000000,165.000000,173.000000,151.000000
29.000000,41.000000,35.000000,154.000000,166.000000,160.000000
27.000000,76.000000,36.000000,152.000000,201.000000,161.000000
41.000000,87.000000,37.000000,166.000000,212.000000,162.000000
30.000000,40.000000,40.000000,155.000000,165.000000,165.000000
29.000000,68.000000,40.000000,154.000000,193.000000,165.000000
28.000000,69.000000,40.000000,153.000000,194.000000,165.000000
49.000000,81.000000,42.000000,174.000000,206.000000,167.000000
37.000000,67.000000,46.000000,162.000000,192.000000,171.000000
35.000000,57.000000,24.000000,160.000000,182.000000,149.000000
28.000000,77.000000,35.000000,153.000000,202.000000,160.000000
28.000000,75.000000,36.000000,153.000000,200.000000,161.000000
31.000000,78.000000,41.000000,156.000000,203.000000,166.000000
16.000000,61.000000,24.000000,141.000000,186.000000,149.000000
